resource,consumer
balano1,pisaster
balano1,thais
balano2,pisaster
balano2,thais
balano3,pisaster
balano3,thais
fitobentos1,quiton1
fitobentos1,quiton2
fitobentos1,lapa1
fitobentos1,lapa2
fitobentos2,quiton1
fitobentos2,quiton2
fitobentos2,lapa1
fitobentos2,lapa2
fitobentos3,lapa1
fitobentos3,lapa2
fitobentos3,quiton1
fitobentos3,quiton2
fitoplancton1,balano1
fitoplancton1,balano2
fitoplancton1,balano3
fitoplancton1,mejillon
fitoplancton1,percebe
fitoplancton2,balano1
fitoplancton2,balano2
fitoplancton2,balano3
fitoplancton2,mejillon
fitoplancton2,percebe
fitoplancton3,balano1
fitoplancton3,balano2
fitoplancton3,balano3
fitoplancton3,mejillon
fitoplancton3,percebe
fitoplancton4,balano1
fitoplancton4,balano2
fitoplancton4,balano3
fitoplancton4,mejillon
fitoplancton4,percebe
lapa1,pisaster
lapa2,pisaster
mejillon,pisaster
mejillon,thais
percebe,pisaster
pisaster,pisaster
quiton1,pisaster
quiton2,pisaster
thais,pisaster
